ilkid,year,firstname,lastname,team,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,pf,fga,fgm,fta,ftm,tpa,tpm,allstar
BESTTR01  ,1998,Travis,Best,IND,gp-r,minutes-r,pts-r,oreb-mr,dreb-mr,reb-mr,asts-b,stl-b,blk-mr,pf-r,fga-r,fgm-r,fta-r,ftm-r,tpa-b,tpm-b,NO
BIBBYMI01 ,1998,Mike,Bibby,VAN,gp-r,minutes-b,pts-b,oreb-mr,dreb-r,reb-r,asts-b,stl-b,blk-mr,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-b,tpm-r,NO
BILLUCH01 ,1998,Chauncey,Billups,DEN,gp-r,minutes-b,pts-b,oreb-mr,dreb-mr,reb-mr,asts-b,stl-b,blk-r,pf-b,fga-b,fgm-r,fta-b,ftm-b,tpa-b,tpm-b,NO
BLAYLMO01 ,1998,Mookie,Blaylock,ATL,gp-r,minutes-b,pts-b,oreb-r,dreb-b,reb-b,asts-b,stl-b,blk-mr,pf-r,fga-b,fgm-b,fta-r,ftm-r,tpa-b,tpm-b,NO
BLOUNCO01 ,1998,Corie,Blount,LAL,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BLOUNCO01 ,1998,Corie,Blount,CLE,gp-mr,minutes-mr,pts-mr,oreb-r,dreb-mr,reb-r,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BLOUNCO01 ,1998,Corie,Blount,TOT,gp-r,minutes-mr,pts-mr,oreb-r,dreb-r,reb-r,asts-mr,stl-mr,blk-r,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BOGUEMU01 ,1998,Muggsy,Bogues,GSW,gp-r,minutes-r,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-b,stl-b,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BOHANET01 ,1998,Etdrick,Bohannon,WAS,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BOOTHKE01 ,1998,Keith,Booth,CHI,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-r,blk-mr,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BOWENBR01 ,1998,Bruce,Bowen,BOS,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-r,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BOYKIEA01 ,1998,Earl,Boykins,TOT,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BOYKIEA01 ,1998,Earl,Boykins,CLE,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BOYKIEA01 ,1998,Earl,Boykins,NJN,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BRADLSH01 ,1998,Shawn,Bradley,DAL,gp-r,minutes-b,pts-r,oreb-b,dreb-b,reb-b,asts-mr,stl-r,blk-b,pf-b,fga-r,fgm-r,fta-r,ftm-r,tpa-mr,tpm-mr,NO
BRANDTE01 ,1998,Terrell,Brandon,MIL,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-r,stl-r,blk-mr,pf-mr,fga-r,fgm-mr,fta-mr,ftm-mr,tpa-r,tpm-mr,NO
BRANDTE01 ,1998,Terrell,Brandon,MIN,gp-mr,minutes-r,pts-r,oreb-mr,dreb-mr,reb-mr,asts-b,stl-r,blk-mr,pf-mr,fga-r,fgm-r,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BRANDTE01 ,1998,Terrell,Brandon,TOT,gp-r,minutes-b,pts-r,oreb-mr,dreb-r,reb-r,asts-b,stl-b,blk-mr,pf-r,fga-b,fgm-b,fta-r,ftm-r,tpa-r,tpm-r,NO
BROWNCH01 ,1998,Chucky,Brown,CHA,gp-r,minutes-r,pts-r,oreb-r,dreb-r,reb-r,asts-mr,stl-mr,blk-r,pf-r,fga-r,fgm-r,fta-mr,ftm-mr,tpa-r,tpm-r,NO
BROWNDE01 ,1998,Dee,Brown,TOR,gp-r,minutes-b,pts-b,oreb-mr,dreb-r,reb-mr,asts-b,stl-b,blk-mr,pf-r,fga-b,fgm-r,fta-mr,ftm-mr,tpa-b,tpm-b,NO
